Problem,10-score,9-score,8-score,7-score,6-score,5-score,4-score,3-score,2-score,1-score,0-score,Blank,Participants,Total_participants,>10,>9,>8,>7,>6,>5,>4,>3,>2,>1,>0,Median
A1-1995,115,64,20,0,0,0,0,0,1,0,2,2,202,204,0.57,0.89,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,1.00,10
A2-1995,26,10,14,0,0,0,0,0,14,3,56,81,123,204,0.21,0.29,0.41,0.41,0.41,0.41,0.41,0.41,0.52,0.54,1.00,2
A3-1995,95,44,39,0,0,0,0,0,12,5,3,6,198,204,0.48,0.70,0.90,0.90,0.90,0.90,0.90,0.90,0.96,0.98,1.00,9
A4-1995,39,9,13,0,0,0,0,0,19,1,83,40,164,204,0.24,0.29,0.37,0.37,0.37,0.37,0.37,0.37,0.49,0.49,1.00,0
A5-1995,1,1,2,1,0,0,0,6,18,14,43,118,86,204,0.01,0.02,0.05,0.06,0.06,0.06,0.06,0.13,0.34,0.50,1.00,1
A6-1995,1,0,1,0,0,0,0,0,0,0,61,141,63,204,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1.00,0
B1-1995,124,26,7,0,0,0,0,0,4,10,11,22,182,204,0.68,0.82,0.86,0.86,0.86,0.86,0.86,0.86,0.88,0.94,1.00,10
B2-1995,2,54,26,0,0,0,0,0,3,13,51,55,149,204,0.01,0.38,0.55,0.55,0.55,0.55,0.55,0.55,0.57,0.66,1.00,8
B3-1995,54,15,11,0,0,0,0,0,33,15,49,27,177,204,0.31,0.39,0.45,0.45,0.45,0.45,0.45,0.45,0.64,0.72,1.00,2
B4-1995,9,18,62,4,0,0,0,2,21,33,10,45,159,204,0.06,0.17,0.56,0.58,0.58,0.58,0.58,0.60,0.73,0.94,1.00,8
B5-1995,72,11,13,0,0,0,0,0,9,6,42,51,153,204,0.47,0.54,0.63,0.63,0.63,0.63,0.63,0.63,0.69,0.73,1.00,9
B6-1995,3,2,0,0,0,0,0,0,2,3,61,133,71,204,0.04,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.10,0.14,1.00,0
A1-1996,87,26,47,0,0,0,0,0,6,9,31,0,206,206,0.42,0.55,0.78,0.78,0.78,0.78,0.78,0.78,0.81,0.85,1.00,9
A2-1996,6,11,27,0,0,0,0,0,65,23,46,28,178,206,0.03,0.10,0.25,0.25,0.25,0.25,0.25,0.25,0.61,0.74,1.00,2
A3-1996,63,18,6,0,0,0,0,0,0,0,47,72,134,206,0.47,0.60,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,1.00,9
A4-1996,3,7,7,0,0,0,0,0,7,19,67,96,110,206,0.03,0.09,0.15,0.15,0.15,0.15,0.15,0.15,0.22,0.39,1.00,0
A5-1996,4,4,2,0,0,0,0,0,0,13,40,143,63,206,0.06,0.13,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.37,1.00,0
A6-1996,4,4,11,0,0,0,0,0,18,13,46,110,96,206,0.04,0.08,0.20,0.20,0.20,0.20,0.20,0.20,0.39,0.52,1.00,1
B1-1996,113,72,17,0,0,0,0,0,3,1,0,0,206,206,0.55,0.90,0.98,0.98,0.98,0.98,0.98,0.98,1.00,1.00,1.00,10
B2-1996,85,13,6,0,0,0,0,0,15,7,28,52,154,206,0.55,0.64,0.68,0.68,0.68,0.68,0.68,0.68,0.77,0.82,1.00,10
B3-1996,20,19,8,0,0,0,0,0,14,36,56,53,153,206,0.13,0.25,0.31,0.31,0.31,0.31,0.31,0.31,0.40,0.63,1.00,1
B4-1996,40,4,7,0,0,0,0,0,17,4,48,86,120,206,0.33,0.37,0.43,0.43,0.43,0.43,0.43,0.43,0.57,0.60,1.00,2
B5-1996,34,4,7,0,0,0,0,0,3,2,58,98,108,206,0.31,0.35,0.42,0.42,0.42,0.42,0.42,0.42,0.44,0.46,1.00,0
B6-1996,0,1,9,0,0,0,0,0,2,0,23,171,35,206,0.00,0.03,0.29,0.29,0.29,0.29,0.29,0.29,0.34,0.34,1.00,0
A1-1997,138,3,8,0,0,0,0,0,1,2,21,32,173,205,0.80,0.82,0.86,0.86,0.86,0.86,0.86,0.86,0.87,0.88,1.00,10
A2-1997,42,42,44,0,0,0,0,0,18,7,19,33,172,205,0.24,0.49,0.74,0.74,0.74,0.74,0.74,0.74,0.85,0.89,1.00,8
A3-1997,5,28,4,0,0,0,0,0,3,36,29,100,105,205,0.05,0.31,0.35,0.35,0.35,0.35,0.35,0.35,0.38,0.72,1.00,1
A4-1997,100,21,1,0,0,0,0,0,3,8,24,48,157,205,0.64,0.77,0.78,0.78,0.78,0.78,0.78,0.78,0.80,0.85,1.00,10
A5-1997,22,10,15,0,0,0,0,0,24,11,37,86,119,205,0.18,0.27,0.39,0.39,0.39,0.39,0.39,0.39,0.60,0.69,1.00,2
A6-1997,0,1,1,0,0,0,0,0,8,8,35,152,53,205,0.00,0.02,0.04,0.04,0.04,0.04,0.04,0.04,0.19,0.34,1.00,0
B1-1997,171,6,8,0,0,0,0,0,1,8,10,1,204,205,0.84,0.87,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.95,1.00,10
B2-1997,28,1,1,0,0,0,0,0,1,3,38,133,72,205,0.39,0.40,0.42,0.42,0.42,0.42,0.42,0.42,0.43,0.47,1.00,0
B3-1997,1,4,7,0,0,0,0,0,22,20,89,62,143,205,0.01,0.03,0.08,0.08,0.08,0.08,0.08,0.08,0.24,0.38,1.00,0
B4-1997,23,6,7,0,0,0,0,0,5,4,35,125,80,205,0.29,0.36,0.45,0.45,0.45,0.45,0.45,0.45,0.51,0.56,1.00,2
B5-1997,9,4,3,0,0,0,0,0,17,24,44,104,101,205,0.09,0.13,0.16,0.16,0.16,0.16,0.16,0.16,0.33,0.56,1.00,1
B6-1997,5,4,5,0,0,0,0,0,3,0,51,137,68,205,0.07,0.13,0.21,0.21,0.21,0.21,0.21,0.21,0.25,0.25,1.00,0
A1-1998,156,23,4,0,0,0,0,0,0,0,16,0,199,199,0.78,0.90,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,1.00,10
A2-1998,103,35,26,0,0,0,0,0,9,8,12,6,193,199,0.53,0.72,0.85,0.85,0.85,0.85,0.85,0.85,0.90,0.94,1.00,10
A3-1998,82,34,2,0,0,0,0,0,5,0,39,37,162,199,0.51,0.72,0.73,0.73,0.73,0.73,0.73,0.73,0.76,0.76,1.00,10
A4-1998,39,27,52,0,0,0,0,0,49,7,14,11,188,199,0.21,0.35,0.63,0.63,0.63,0.63,0.63,0.63,0.89,0.93,1.00,8
A5-1998,85,24,15,0,0,0,0,0,5,2,8,60,139,199,0.61,0.78,0.89,0.89,0.89,0.89,0.89,0.89,0.93,0.94,1.00,10
A6-1998,12,1,3,0,0,0,0,0,3,9,92,79,120,199,0.10,0.11,0.13,0.13,0.13,0.13,0.13,0.13,0.16,0.23,1.00,0
B1-1998,112,30,30,0,0,0,0,0,3,3,12,9,190,199,0.59,0.75,0.91,0.91,0.91,0.91,0.91,0.91,0.92,0.94,1.00,10
B2-1998,82,10,9,0,0,0,0,0,3,11,38,46,153,199,0.54,0.60,0.66,0.66,0.66,0.66,0.66,0.66,0.68,0.75,1.00,10
B3-1998,44,4,3,0,0,0,0,0,7,2,62,77,122,199,0.36,0.39,0.42,0.42,0.42,0.42,0.42,0.42,0.48,0.49,1.00,0
B4-1998,42,9,22,0,0,0,0,0,21,28,24,53,146,199,0.29,0.35,0.50,0.50,0.50,0.50,0.50,0.50,0.64,0.84,1.00,8
B5-1998,55,2,29,0,0,0,0,0,8,0,29,76,123,199,0.45,0.46,0.70,0.70,0.70,0.70,0.70,0.70,0.76,0.76,1.00,8
B6-1998,25,8,8,0,0,0,0,0,4,5,31,118,81,199,0.31,0.41,0.51,0.51,0.51,0.51,0.51,0.51,0.56,0.62,1.00,8
A1-1999,124,17,34,0,0,0,0,0,10,4,11,5,200,205,0.62,0.71,0.88,0.88,0.88,0.88,0.88,0.88,0.93,0.95,1.00,10
A2-1999,61,16,28,0,0,0,0,0,2,4,52,42,163,205,0.37,0.47,0.64,0.64,0.64,0.64,0.64,0.64,0.66,0.68,1.00,8
A3-1999,103,10,2,0,0,0,0,0,1,18,27,44,161,205,0.64,0.70,0.71,0.71,0.71,0.71,0.71,0.71,0.72,0.83,1.00,10
A4-1999,33,27,3,0,0,0,0,0,3,2,14,123,82,205,0.40,0.73,0.77,0.77,0.77,0.77,0.77,0.77,0.80,0.83,1.00,9
A5-1999,5,1,4,0,0,0,0,0,3,10,63,119,86,205,0.06,0.07,0.12,0.12,0.12,0.12,0.12,0.12,0.15,0.27,1.00,0
A6-1999,31,11,9,0,0,0,0,0,1,5,28,120,85,205,0.36,0.49,0.60,0.60,0.60,0.60,0.60,0.60,0.61,0.67,1.00,8
B1-1999,126,17,17,0,0,0,0,0,6,0,23,16,189,205,0.67,0.76,0.85,0.85,0.85,0.85,0.85,0.85,0.88,0.88,1.00,10
B2-1999,38,27,9,0,0,0,0,0,9,0,74,48,157,205,0.24,0.41,0.47,0.47,0.47,0.47,0.47,0.47,0.53,0.53,1.00,2
B3-1999,44,2,2,0,0,0,0,0,13,14,56,74,131,205,0.34,0.35,0.37,0.37,0.37,0.37,0.37,0.37,0.47,0.57,1.00,1
B4-1999,0,0,0,0,0,0,0,0,1,0,31,173,32,205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,1.00,0
B5-1999,0,0,0,0,0,0,0,0,1,0,43,161,44,205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,1.00,0
B6-1999,3,5,5,0,0,0,0,0,3,0,80,109,96,205,0.03,0.08,0.14,0.14,0.14,0.14,0.14,0.14,0.17,0.17,1.00,0
A1-2000,61,9,5,0,0,0,0,0,14,54,41,11,184,195,0.33,0.38,0.41,0.41,0.41,0.41,0.41,0.41,0.48,0.78,1.00,1
A2-2000,150,1,0,0,0,0,0,0,1,0,23,20,175,195,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.87,0.87,1.00,10
A3-2000,64,20,20,0,0,0,0,0,23,9,27,32,163,195,0.39,0.52,0.64,0.64,0.64,0.64,0.64,0.64,0.78,0.83,1.00,9
A4-2000,10,2,2,0,0,0,0,0,6,2,43,130,65,195,0.15,0.18,0.22,0.22,0.22,0.22,0.22,0.22,0.31,0.34,1.00,0
A5-2000,30,11,4,0,0,0,0,0,2,0,19,129,66,195,0.45,0.62,0.68,0.68,0.68,0.68,0.68,0.68,0.71,0.71,1.00,9
A6-2000,1,2,2,0,0,0,0,0,3,19,57,111,84,195,0.01,0.04,0.06,0.06,0.06,0.06,0.06,0.06,0.10,0.32,1.00,0
B1-2000,126,14,4,0,0,0,0,0,8,14,14,15,180,195,0.70,0.78,0.80,0.80,0.80,0.80,0.80,0.80,0.84,0.92,1.00,10
B2-2000,114,7,2,0,0,0,0,0,2,6,35,29,166,195,0.69,0.73,0.74,0.74,0.74,0.74,0.74,0.74,0.75,0.79,1.00,10
B3-2000,5,3,3,1,0,0,0,16,9,26,3,129,66,195,0.08,0.12,0.17,0.18,0.18,0.18,0.18,0.42,0.56,0.95,1.00,2
B4-2000,14,5,1,0,0,0,0,0,3,6,106,60,135,195,0.10,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.17,0.21,1.00,0
B5-2000,29,16,14,0,0,0,0,0,13,1,11,111,84,195,0.35,0.54,0.70,0.70,0.70,0.70,0.70,0.70,0.86,0.87,1.00,9
B6-2000,8,1,0,0,0,0,0,0,0,0,41,145,50,195,0.16,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,1.00,0
A1-2001,189,1,0,0,0,0,0,0,0,0,8,2,198,200,0.95,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,1.00,10
A2-2001,163,6,5,0,0,0,0,0,1,1,14,10,190,200,0.86,0.89,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.93,1.00,10
A3-2001,97,33,5,0,0,0,0,0,24,22,7,12,188,200,0.52,0.69,0.72,0.72,0.72,0.72,0.72,0.72,0.85,0.96,1.00,10
A4-2001,29,7,8,0,0,0,0,0,10,10,47,89,111,200,0.26,0.32,0.40,0.40,0.40,0.40,0.40,0.40,0.49,0.58,1.00,1
A5-2001,12,9,10,0,0,0,0,0,9,41,33,86,114,200,0.11,0.18,0.27,0.27,0.27,0.27,0.27,0.27,0.35,0.71,1.00,1
A6-2001,1,0,0,0,0,0,0,0,0,1,57,141,59,200,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,1.00,0
B1-2001,136,25,7,0,0,0,0,0,3,3,20,6,194,200,0.70,0.83,0.87,0.87,0.87,0.87,0.87,0.87,0.88,0.90,1.00,10
B2-2001,38,1,2,0,0,0,0,0,2,7,52,98,102,200,0.37,0.38,0.40,0.40,0.40,0.40,0.40,0.40,0.42,0.49,1.00,0
B3-2001,120,6,5,0,0,0,0,0,12,17,5,35,165,200,0.73,0.76,0.79,0.79,0.79,0.79,0.79,0.79,0.87,0.97,1.00,10
B4-2001,43,21,28,0,0,0,0,0,3,0,34,71,129,200,0.33,0.50,0.71,0.71,0.71,0.71,0.71,0.71,0.74,0.74,1.00,8
B5-2001,2,0,0,0,0,0,0,0,3,3,82,110,90,200,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.06,0.09,1.00,0
B6-2001,9,5,2,0,0,0,0,0,2,0,40,142,58,200,0.16,0.24,0.28,0.28,0.28,0.28,0.28,0.28,0.31,0.31,1.00,0
A1-2002,115,9,41,0,0,0,0,0,16,2,20,7,203,210,0.57,0.61,0.81,0.81,0.81,0.81,0.81,0.81,0.89,0.90,1.00,10
A2-2002,75,106,14,0,0,0,0,0,3,1,1,10,200,210,0.38,0.91,0.98,0.98,0.98,0.98,0.98,0.98,0.99,1.00,1.00,9
A3-2002,63,32,8,0,0,0,0,0,7,7,26,67,143,210,0.44,0.66,0.72,0.72,0.72,0.72,0.72,0.72,0.77,0.82,1.00,9
A4-2002,61,30,19,0,0,0,0,0,24,9,31,36,174,210,0.35,0.52,0.63,0.63,0.63,0.63,0.63,0.63,0.77,0.82,1.00,9
A5-2002,21,32,29,0,0,0,0,0,24,3,27,74,136,210,0.15,0.39,0.60,0.60,0.60,0.60,0.60,0.60,0.78,0.80,1.00,8
A6-2002,3,4,3,0,0,0,0,0,5,5,58,132,78,210,0.04,0.09,0.13,0.13,0.13,0.13,0.13,0.13,0.19,0.26,1.00,0
B1-2002,162,17,2,0,0,0,0,0,2,2,15,10,200,210,0.81,0.90,0.91,0.91,0.91,0.91,0.91,0.91,0.92,0.93,1.00,10
B2-2002,107,48,18,0,0,0,0,0,18,1,8,10,200,210,0.54,0.78,0.87,0.87,0.87,0.87,0.87,0.87,0.96,0.96,1.00,10
B3-2002,30,1,0,0,0,0,0,0,30,2,78,69,141,210,0.21,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.43,0.45,1.00,0
B4-2002,84,13,11,0,0,0,0,0,4,6,50,42,168,210,0.50,0.58,0.64,0.64,0.64,0.64,0.64,0.64,0.67,0.70,1.00,10
B5-2002,28,0,5,0,0,0,0,0,2,0,27,148,62,210,0.45,0.45,0.53,0.53,0.53,0.53,0.53,0.53,0.56,0.56,1.00,8
B6-2002,7,6,4,0,0,0,0,0,3,3,28,159,51,210,0.14,0.25,0.33,0.33,0.33,0.33,0.33,0.33,0.39,0.45,1.00,0
A1-2003,149,3,29,0,0,0,0,0,10,1,5,4,197,201,0.76,0.77,0.92,0.92,0.92,0.92,0.92,0.92,0.97,0.97,1.00,10
A2-2003,55,25,8,0,0,0,0,0,15,1,35,62,139,201,0.40,0.58,0.63,0.63,0.63,0.63,0.63,0.63,0.74,0.75,1.00,9
A3-2003,10,1,7,0,0,0,0,0,2,4,100,77,124,201,0.08,0.09,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.19,1.00,0
A4-2003,15,4,5,0,0,0,0,0,71,18,27,61,140,201,0.11,0.14,0.17,0.17,0.17,0.17,0.17,0.17,0.68,0.81,1.00,2
A5-2003,27,0,1,0,0,0,0,0,6,2,33,132,69,201,0.39,0.39,0.41,0.41,0.41,0.41,0.41,0.41,0.49,0.52,1.00,1
A6-2003,18,6,4,0,0,0,0,0,7,4,45,117,84,201,0.21,0.29,0.33,0.33,0.33,0.33,0.33,0.33,0.42,0.46,1.00,0
B1-2003,62,6,4,0,0,0,0,0,14,6,83,26,175,201,0.35,0.39,0.41,0.41,0.41,0.41,0.41,0.41,0.49,0.53,1.00,1
B2-2003,119,13,4,0,0,0,0,0,30,6,12,17,184,201,0.65,0.72,0.74,0.74,0.74,0.74,0.74,0.74,0.90,0.93,1.00,10
B3-2003,97,35,20,0,0,0,0,0,10,5,12,22,179,201,0.54,0.74,0.85,0.85,0.85,0.85,0.85,0.85,0.91,0.93,1.00,10
B4-2003,120,12,11,0,0,0,0,0,5,2,16,35,166,201,0.72,0.80,0.86,0.86,0.86,0.86,0.86,0.86,0.89,0.90,1.00,10
B5-2003,31,6,19,0,0,0,0,0,15,0,36,94,107,201,0.29,0.35,0.52,0.52,0.52,0.52,0.52,0.52,0.66,0.66,1.00,8
B6-2003,10,0,0,0,0,0,0,0,1,9,40,132,60,192,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.18,0.33,1.00,0
A1-2004,139,3,26,0,0,0,0,0,7,0,20,1,195,196,0.71,0.73,0.86,0.86,0.86,0.86,0.86,0.86,0.90,0.90,1.00,10
A2-2004,64,10,11,0,0,0,0,0,7,1,83,20,176,196,0.36,0.42,0.48,0.48,0.48,0.48,0.48,0.48,0.52,0.53,1.00,2
A3-2004,148,13,4,0,0,0,0,0,2,9,8,12,184,196,0.80,0.88,0.90,0.90,0.90,0.90,0.90,0.90,0.91,0.96,1.00,10
